"filename", "language", "C++", "YAML", "Markdown", "C", "CSS", "HTML", "XML", "SCSS", "GLSL", "Python", "ShaderLab", "Objective-C", "Shell Script", "Batch", "Objective-C++", "reStructuredText", "CMake", "Makefile", "Java", "Rust", "Docker", "C#", "JavaScript", "HLSL", "comment", "blank", "total"
"d:\Documents\Cpp\OpenGLEngine\.github\FUNDING.yml", "YAML", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"d:\Documents\Cpp\OpenGLEngine\README.md", "Markdown", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 41
"d:\Documents\Cpp\OpenGLEngine\external\assimp\BUILDBINARIES_EXAMPLE.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 26
"d:\Documents\Cpp\OpenGLEngine\external\assimp\Build.md", "Markdown", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 114
"d:\Documents\Cpp\OpenGLEngine\external\assimp\CODE_OF_CONDUCT.md", "Markdown", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 129
"d:\Documents\Cpp\OpenGLEngine\external\assimp\CONTRIBUTING.md", "Markdown", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\Documents\Cpp\OpenGLEngine\external\assimp\CodeConventions.md", "Markdown", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"d:\Documents\Cpp\OpenGLEngine\external\assimp\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 7, 23
"d:\Documents\Cpp\OpenGLEngine\external\assimp\Readme.md", "Markdown", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 118
"d:\Documents\Cpp\OpenGLEngine\external\assimp\SECURITY.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Documents\Cpp\OpenGLEngine\external\assimp\cmake-modules\Coveralls.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 26, 127
"d:\Documents\Cpp\OpenGLEngine\external\assimp\cmake-modules\CoverallsClear.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"d:\Documents\Cpp\OpenGLEngine\external\assimp\cmake-modules\CoverallsGenerateGcov.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 407, 0, 0, 0, 0, 0, 0, 0, 0, 76, 483
"d:\Documents\Cpp\OpenGLEngine\external\assimp\cmake-modules\DebSourcePPA.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 313, 0, 0, 0, 0, 0, 0, 0, 0, 35, 348
"d:\Documents\Cpp\OpenGLEngine\external\assimp\cmake-modules\FindDevIL.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 13, 73
"d:\Documents\Cpp\OpenGLEngine\external\assimp\cmake-modules\FindDirectX.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 14, 102
"d:\Documents\Cpp\OpenGLEngine\external\assimp\cmake-modules\FindPkgMacros.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 15, 147
"d:\Documents\Cpp\OpenGLEngine\external\assimp\cmake-modules\FindRT.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\Documents\Cpp\OpenGLEngine\external\assimp\cmake-modules\FindZLIB.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 12, 49
"d:\Documents\Cpp\OpenGLEngine\external\assimp\cmake-modules\Findassimp.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 18, 86
"d:\Documents\Cpp\OpenGLEngine\external\assimp\cmake-modules\HunterGate.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 478, 0, 0, 0, 0, 0, 0, 0, 0, 62, 540
"d:\Documents\Cpp\OpenGLEngine\external\assimp\cmake-modules\MinGW_x86_64.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\Documents\Cpp\OpenGLEngine\external\assimp\cmake-modules\PrecompiledHeader.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\3DS\3DSConverter.cpp", "C++", 491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 192, 128, 811
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\3DS\3DSExporter.cpp", "C++", 371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 96, 583
